식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D401-059200000-0001,김치 볶음밥_모듬,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1059,김치 볶음밥,105920,모듬,10592000,해당없음,0,해당없음,100ml,130,29.1,3.8,2.79,,21.5,1.01,1.7,15.0,0.34,62.0,132.0,152.0,9.0,1.0,95.0,0.064,0.046,0.866,2.18,0.2,6.45,0.59,,3,식품의약품안전처,320ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-060000000-0001,낙지 덮밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1060,낙지 덮밥,106000,해당없음,10600000,해당없음,0,해당없음,100ml,92,53.6,4.5,1.28,,15.44,1.76,1.2,13.0,0.45,53.0,126.0,187.0,20.0,0.0,243.0,0.041,0.043,0.232,1.63,0.0,3.82,0.21,,3,식품의약품안전처,900ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-061000000-0001,낙지 비빔밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1061,낙지 비빔밥,106100,해당없음,10610000,해당없음,0,해당없음,100ml,88,48.8,4.3,1.31,,14.72,1.25,1.0,14.0,0.45,51.0,107.0,176.0,23.0,3.0,247.0,0.04,0.051,0.217,1.42,0.03,9.72,0.24,,3,식품의약품안전처,900ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-062000000-0001,닭고기 덮밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1062,닭고기 덮밥,106200,해당없음,10620000,해당없음,0,해당없음,100ml,89,20.3,4.3,0.38,,16.36,0.45,0.6,4.0,0.22,36.0,78.0,67.0,14.0,6.0,97.0,0.048,0.04,0.733,0.57,0.0,7.95,0.09,,3,식품의약품안전처,572ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-063000000-0001,돼지머리국밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1063,돼지머리국밥,106300,해당없음,10630000,해당없음,0,해당없음,100ml,72,11.0,2.1,1.16,,12.55,0.41,0.5,4.0,0.11,22.0,35.0,143.0,1.0,0.0,9.0,0.03,0.013,0.238,0.36,0.03,2.93,0.41,,3,식품의약품안전처,809ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-064000000-0001,모듬 김밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1064,모듬 김밥,106400,해당없음,10640000,해당없음,0,해당없음,100ml,113,50.9,4.2,2.75,,17.49,0.7,1.3,24.0,0.38,61.0,91.0,184.0,38.0,9.0,344.0,0.046,0.069,0.622,3.98,0.24,25.86,0.69,,3,식품의약품안전처,400ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-065000000-0001,모듬 초밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1065,모듬 초밥,106500,해당없음,10650000,해당없음,0,해당없음,100ml,189,37.4,10.0,3.14,,28.65,2.45,0.7,35.0,1.09,131.0,129.0,394.0,103.0,103.0,0.0,0.125,0.108,1.361,0.68,2.53,63.44,0.9,,3,식품의약품안전처,245ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-066000000-0001,무밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1066,무밥,106600,해당없음,10660000,해당없음,0,해당없음,100ml,177,37.1,3.7,1.06,,36.68,0.79,1.3,13.0,0.28,64.0,141.0,198.0,0.0,0.0,6.0,0.065,0.09,0.592,2.57,0.0,0.0,0.21,,3,식품의약품안전처,246.2,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-068000000-0001,버섯 덮밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1068,버섯 덮밥,106800,해당없음,10680000,해당없음,0,해당없음,100ml,101,21.7,2.6,1.63,,18.47,0.54,0.9,5.0,0.26,39.0,77.0,63.0,9.0,1.0,97.0,0.033,0.052,0.781,0.9,0.0,4.14,0.64,,3,식품의약품안전처,572ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-069000000-0001,비빔 잡곡밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1069,비빔 잡곡밥,106900,해당없음,10690000,해당없음,0,해당없음,100ml,138,17.4,3.6,2.12,,25.66,0.68,2.1,21.0,0.56,67.0,105.0,93.0,22.0,6.0,185.0,0.057,0.071,0.447,1.19,0.07,16.33,0.44,,3,식품의약품안전처,300ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
